list_name | name | label | gov | order | sector
list_name | name | label |  |  |
security | Safe | Safe |  |  |
security | Unsafe | Unsafe |  |  |
infra_type | Housing | Housing |  |  |
infra_type | Social_Infrastructure | Social Infrastructure |  |  |
infra_type | Economic_Infrastructure | Economic Infrastructure |  |  |
governorate | North | North |  |  |
governorate | Gaza | Gaza |  |  |
governorate | Middle_Area | Middle Area |  |  |
governorate | Khan_Younis | Khan Younis |  |  |
governorate | Rafah | Rafah | North |  |
locality | Um_AlNasser | Um_AlNasser | North |  |
locality | Bait_Hanoun | Bait_Hanoun | North |  |
locality | Jabalia | Jabalia | North |  |
locality | Bait_Lahia | Bait_Lahia | Gaza |  |
locality | Gaza | Gaza | Gaza |  |
locality | Juhr_Aldeek | Juhr_Aldeek | Gaza |  |
locality | Almughraqa | Almughraqa | Gaza |  |
locality | Alzahra | Alzahra | Middle_Area |  |
locality | AlNusairat | AlNusairat | Middle_Area |  |
locality | Alburaje | Alburaje | Middle_Area |  |
locality | AlMaghazi | AlMaghazi | Middle_Area |  |
locality | AlMusadar | AlMusadar | Middle_Area |  |
locality | Wadi_Alsalqa | Wadi_Alsalqa | Middle_Area |  |
locality | Dair_Albalah | Dair_Albalah | Middle_Area |  |
locality | Alzawayda | Alzawayda | Khan_Younis |  |
locality | Khanyounis | Khanyounis | Khan_Younis |  |
locality | Alqarara | Alqarara | Khan_Younis |  |
locality | Bani_Sohaila | Bani_Sohaila | Khan_Younis |  |
locality | Abasan_AlJadida | Abasan_AlJadida | Khan_Younis |  |
locality | Abasan_alkabeira | Abasan_alkabeira | Khan_Younis |  |
locality | Khuzaa | Khuzaa | Khan_Younis |  |
locality | AlFukhari | AlFukhari | Rafah |  |
locality | Rafah | Rafah | Rafah |  |
locality | AlNasser | AlNasser | Rafah |  |
locality | AlShuka | AlShuka |  |  |
sex | Male | Male |  |  |
sex | Female | Female |  |  |
unit_type | flat | Flat |  |  |
unit_type | house | House |  |  |
unit_type | shelter | Shelter |  |  |
|  |  |  |  |
unit_ownership | owned | Owned |  |  |
unit_ownership | rented | Rented |  |  |
unit_ownership | squaterd | Squaterd |  |  |
unit_ownership | shared | Shared |  |  |
unit_ownership | other_ownership | Other |  |  |
|  |  |  |  |
handicapped | Wheelchair | Wheelchair |  |  |
handicapped | Blind | Blind |  |  |
handicapped | Physically | Physically disabled |  |  |
handicapped | Elderly | Elderly |  |  |
handicapped | Mental | Mental |  |  |
handicapped | other_handicapped | Other |  |  |
yes_no | Yes | Yes |  |  |
yes_no | No | No |  |  |
building_material | Concrete_Building | Concrete Building |  |  |
building_material | Eternite_Sheets | Eternite Sheets |  |  |
building_material | Iron_Sheets | Iron Sheets |  |  |
building_material | Concrete_Eternite | Concrete/Eternite |  |  |
building_material | Concrete_Iron | Concrete/Iron |  |  |
building_material | other_building_material | other |  |  |
type_damage | Completely | Completely |  | 1 |
type_damage | partially | Partially |  |  |
weather | fine | Fine |  |  |
weather | windy | Windy |  |  |
weather | rainy | Rainy |  |  |
job | employed | Employed |  |  |
job | freelancer | Freelancer |  |  |
job | unemployed | Unemployed |  |  |
job | other_job | Other |  |  |
marital_status | Single | Single |  |  |
marital_status | Divorced | Divorced |  |  |
marital_status | Widow | Widow |  |  |
marital_status | Married | Married |  |  |
building_age | years0_5 | 0-5 years |  |  |
building_age | years6_10 | 6-10 years |  |  |
building_age | years11_20 | 11-20 years |  |  |
building_age | years21_50 | 21-50 years |  |  |
building_age | years51_100 | 51-100 years |  |  |
building_age | years101more | 101+ years |  |  |
building_age | not_sure | Not sure |  |  |
identity_type | idd | ID |  |  |
identity_type | passport | Passport |  |  |
identity_type | other_id | Other |  |  |
|  |  |  |  |
building_type | stan_alone_building | Stand alone building |  |  |
building_type | apartment | Apartment |  |  |
building_type | other | Other |  |  |
|  |  |  |  |
sector | health | Health |  |  |
sector | education | Education |  |  |
sector | cultural | Cultural |  |  |
sector | environmental | Environmental |  |  |
sector | governmental_municipal | Governmental/Municipal |  |  |
sector | religional | Religional |  |  |
sector | recreational | Recreational |  |  |
sector | other_sector | Other |  |  |
|  |  |  |  |
facility_type | hospital | ?????? / Hospital |  |  | health
facility_type | primary_clinic | ????? ????? / Primary Clinic |  |  | health
facility_type | emergency_aids | ??????? ????? / Emergency aids |  |  | health
facility_type | labs | ??????? / Labs |  |  | health
facility_type | other_health | ????? ???? ???? / Other health  |  |  | health
facility_type | other_education | ????? ??????? ???? / other education |  |  | health
facility_type | university | ????? / University |  |  | education
facility_type | college | ???? / College |  |  | education
facility_type | training_center | ???? ????? / Training Center |  |  | education
facility_type | cemetery | ????? / School |  |  | education
facility_type | other_education | ????? ??????? ????  |  |  | education
|  |  |  |  |
facility_type | admin_building1 | ???? ????? / Admin. Building |  |  | governmental_municipal
facility_type | municipality | ????? / Municipality |  |  | governmental_municipal
facility_type | justice | ??? (?????) / Justice |  |  | governmental_municipal
facility_type | security | ??? / Security |  |  | governmental_municipal
facility_type | general_admin. | ????? ???? / General admin. |  |  | governmental_municipal
facility_type | admin_building2 | ????? / cemetery |  |  | governmental_municipal
facility_type | other_governmental | ????? ????? ????  |  |  | governmental_municipal
|  |  |  |  |
facility_type | heritage_site | ???? ????? / Heritage Site |  |  | cultural
facility_type | cultural_center | ???? ????? / Cultural Center |  |  | cultural
facility_type | other_culture | ????? ?????? ???? / other culture |  |  | cultural
|  |  |  |  |
